category	sample	sum_abund	groups
Sulfonamides	bgi-SZEY-58A	5.52092280495e-09	Ab (mutations)
Fluoroquinolones	bgi-SZEY-58A	3.77306931059e-08	Ab (mutations)
Aminoglycoside	bgi-T2D-102A	5.22293958895e-08	Ab (determinants)
Tetracycline derivative	bgi-T2D-102A	4.04956818202e-07	Ab (determinants)
Nucleoside	bgi-T2D-102A	4.95264375305e-10	Ab (determinants)
Pleuromutilin	bgi-T2D-102A	0	Ab (determinants)
Diaminopyrimidine	bgi-T2D-102A	1.52838824014e-08	Ab (determinants)
Glycopeptide	bgi-T2D-102A	4.69845618983e-09	Ab (determinants)
Lincosamide	bgi-T2D-102A	2.29556811628e-07	Ab (determinants)
Streptogramin	bgi-T2D-102A	2.13358845018e-07	Ab (determinants)
Sulfonamide	bgi-T2D-102A	6.50374782603e-09	Ab (determinants)
Aminonucleoside	bgi-T2D-102A	0	Ab (determinants)
Aminocoumarin	bgi-T2D-102A	6.0838243694e-09	Ab (determinants)
Mixture	bgi-T2D-102A	2.38585212634e-08	Ab (determinants)
Miscellaneous	bgi-T2D-102A	0	Ab (determinants)
Rifamycin	bgi-T2D-102A	2.07246000164e-09	Ab (determinants)
Lipopeptide	bgi-T2D-102A	9.03936031544e-09	Ab (determinants)
Fluoroquinolone	bgi-T2D-102A	1.52123896376e-08	Ab (determinants)
Oxazolidinone	bgi-T2D-102A	0	Ab (determinants)
Acridine dye	bgi-T2D-102A	0	Ab (determinants)
Macrolide	bgi-T2D-102A	2.21204184735e-07	Ab (determinants)
Phenicol	bgi-T2D-102A	8.38958868688e-09	Ab (determinants)
Elfamycin	bgi-T2D-102A	0	Ab (determinants)
Beta-lactam	bgi-T2D-102A	5.95421344973e-08	Ab (determinants)
Peptide	bgi-T2D-102A	1.63683973369e-09	Ab (determinants)
Coumarin	bgi-T2D-102A	1.39929394111e-09	Ab (mutations)
Rifampin	bgi-T2D-102A	8.39113932453e-09	Ab (mutations)
Sulfonamides	bgi-T2D-102A	1.03649115764e-08	Ab (mutations)
Fluoroquinolones	bgi-T2D-102A	6.93610465464e-08	Ab (mutations)
Aminoglycoside	bgi-N002A	1.90051410754e-08	Ab (determinants)
Tetracycline derivative	bgi-N002A	3.01429493836e-07	Ab (determinants)
Nucleoside	bgi-N002A	0	Ab (determinants)
Pleuromutilin	bgi-N002A	0	Ab (determinants)
Diaminopyrimidine	bgi-N002A	6.25156797029e-09	Ab (determinants)
Glycopeptide	bgi-N002A	1.95036115002e-09	Ab (determinants)
Lincosamide	bgi-N002A	2.36127864234e-07	Ab (determinants)
Streptogramin	bgi-N002A	2.15121637557e-07	Ab (determinants)
Sulfonamide	bgi-N002A	3.14689779e-08	Ab (determinants)
Aminonucleoside	bgi-N002A	0	Ab (determinants)
Aminocoumarin	bgi-N002A	8.08751561507e-09	Ab (determinants)
Mixture	bgi-N002A	2.36716159441e-08	Ab (determinants)
Miscellaneous	bgi-N002A	0	Ab (determinants)
Rifamycin	bgi-N002A	2.8095370982e-09	Ab (determinants)
Lipopeptide	bgi-N002A	1.24496519018e-08	Ab (determinants)
Fluoroquinolone	bgi-N002A	1.8920882467e-08	Ab (determinants)
Oxazolidinone	bgi-N002A	0	Ab (determinants)
Acridine dye	bgi-N002A	0	Ab (determinants)
Macrolide	bgi-N002A	2.23584366959e-07	Ab (determinants)
Phenicol	bgi-N002A	3.22302494373e-09	Ab (determinants)
Elfamycin	bgi-N002A	0	Ab (determinants)
Beta-lactam	bgi-N002A	1.40455822841e-07	Ab (determinants)
Peptide	bgi-N002A	2.48285384765e-09	Ab (determinants)
Coumarin	bgi-N002A	3.55693238885e-09	Ab (mutations)
Rifampin	bgi-N002A	8.90254066378e-09	Ab (mutations)
Sulfonamides	bgi-N002A	2.1113546991e-09	Ab (mutations)
Fluoroquinolones	bgi-N002A	6.0882740358e-08	Ab (mutations)
Metals	bgi-NLM023	2.45656995059e-06	Metals
Biocides	bgi-NLM023	1.32532516318e-06	Biocides
Metals	bgi-DLF010	3.02026401272e-06	Metals
Biocides	bgi-DLF010	1.33150221396e-06	Biocides
Aminoglycoside	bgi-DOM020	8.79066836938e-09	Ab (determinants)
Tetracycline derivative	bgi-DOM020	2.88943107669e-07	Ab (determinants)
Nucleoside	bgi-DOM020	0	Ab (determinants)
Pleuromutilin	bgi-DOM020	0	Ab (determinants)
Diaminopyrimidine	bgi-DOM020	3.26216691413e-09	Ab (determinants)
Glycopeptide	bgi-DOM020	7.05290769017e-11	Ab (determinants)
Lincosamide	bgi-DOM020	3.06753441434e-07	Ab (determinants)
Streptogramin	bgi-DOM020	2.02875817132e-07	Ab (determinants)
Sulfonamide	bgi-DOM020	1.95683803916e-09	Ab (determinants)
Aminonucleoside	bgi-DOM020	0	Ab (determinants)
Aminocoumarin	bgi-DOM020	2.80113702839e-10	Ab (determinants)
Mixture	bgi-DOM020	8.45612779542e-09	Ab (determinants)
Miscellaneous	bgi-DOM020	0	Ab (determinants)
Rifamycin	bgi-DOM020	1.68027941947e-10	Ab (determinants)
Lipopeptide	bgi-DOM020	4.77715130036e-10	Ab (determinants)
Fluoroquinolone	bgi-DOM020	1.26342517098e-09	Ab (determinants)
Oxazolidinone	bgi-DOM020	0	Ab (determinants)
Acridine dye	bgi-DOM020	0	Ab (determinants)
Macrolide	bgi-DOM020	2.06530652999e-07	Ab (determinants)
Phenicol	bgi-DOM020	1.03279770361e-09	Ab (determinants)
Elfamycin	bgi-DOM020	0	Ab (determinants)
Beta-lactam	bgi-DOM020	4.69777924521e-08	Ab (determinants)
Peptide	bgi-DOM020	0	Ab (determinants)
Coumarin	bgi-DOM020	7.60966563897e-10	Ab (mutations)
Rifampin	bgi-DOM020	6.63454352261e-09	Ab (mutations)
Sulfonamides	bgi-DOM020	1.75817234194e-08	Ab (mutations)
Fluoroquinolones	bgi-DOM020	5.06164453006e-08	Ab (mutations)
Metals	bgi-SZEY-59A	6.26818447773e-06	Metals
Biocides	bgi-SZEY-59A	2.19181361311e-06	Biocides
Aminoglycoside	bgi-T2D-14A	4.16998245709e-08	Ab (determinants)
Tetracycline derivative	bgi-T2D-14A	2.38896120331e-07	Ab (determinants)
Nucleoside	bgi-T2D-14A	8.14164537795e-11	Ab (determinants)
Pleuromutilin	bgi-T2D-14A	0	Ab (determinants)
Diaminopyrimidine	bgi-T2D-14A	1.49345428061e-08	Ab (determinants)
Glycopeptide	bgi-T2D-14A	0	Ab (determinants)
Lincosamide	bgi-T2D-14A	1.74275207615e-07	Ab (determinants)
Streptogramin	bgi-T2D-14A	1.66583521943e-07	Ab (determinants)
Sulfonamide	bgi-T2D-14A	1.38496060773e-08	Ab (determinants)
Aminonucleoside	bgi-T2D-14A	0	Ab (determinants)
Aminocoumarin	bgi-T2D-14A	2.00807632085e-08	Ab (determinants)
Mixture	bgi-T2D-14A	3.91473957674e-08	Ab (determinants)
Miscellaneous	bgi-T2D-14A	2.81209846705e-10	Ab (determinants)
Rifamycin	bgi-T2D-14A	6.69012008891e-09	Ab (determinants)
Lipopeptide	bgi-T2D-14A	3.03825592796e-08	Ab (determinants)
Fluoroquinolone	bgi-T2D-14A	4.41890951391e-08	Ab (determinants)
Oxazolidinone	bgi-T2D-14A	0	Ab (determinants)
Acridine dye	bgi-T2D-14A	0	Ab (determinants)
Macrolide	bgi-T2D-14A	1.86882784604e-07	Ab (determinants)
Phenicol	bgi-T2D-14A	7.04641748153e-09	Ab (determinants)
Elfamycin	bgi-T2D-14A	0	Ab (determinants)
Beta-lactam	bgi-T2D-14A	1.05952422274e-07	Ab (determinants)
Peptide	bgi-T2D-14A	6.08120564609e-09	Ab (determinants)
Coumarin	bgi-T2D-14A	3.05708037431e-09	Ab (mutations)
Rifampin	bgi-T2D-14A	7.55992598051e-09	Ab (mutations)
Sulfonamides	bgi-T2D-14A	2.31284634743e-08	Ab (mutations)
Fluoroquinolones	bgi-T2D-14A	6.47376140026e-08	Ab (mutations)
Metals	bgi-N047A	4.35953871394e-06	Metals
Biocides	bgi-N047A	1.42079014993e-06	Biocides
Aminoglycoside	bgi-NLM009	2.92816367741e-08	Ab (determinants)
Tetracycline derivative	bgi-NLM009	3.35916133864e-07	Ab (determinants)
Nucleoside	bgi-NLM009	0	Ab (determinants)
Pleuromutilin	bgi-NLM009	0	Ab (determinants)
Diaminopyrimidine	bgi-NLM009	6.65983930151e-09	Ab (determinants)
Glycopeptide	bgi-NLM009	0	Ab (determinants)
Lincosamide	bgi-NLM009	3.59257752848e-07	Ab (determinants)
Streptogramin	bgi-NLM009	3.58990196292e-07	Ab (determinants)
Sulfonamide	bgi-NLM009	4.16822962252e-11	Ab (determinants)
Aminonucleoside	bgi-NLM009	0	Ab (determinants)
Aminocoumarin	bgi-NLM009	8.66275399996e-10	Ab (determinants)
Mixture	bgi-NLM009	3.01420172395e-08	Ab (determinants)
Miscellaneous	bgi-NLM009	0	Ab (determinants)
Rifamycin	bgi-NLM009	3.19154195252e-10	Ab (determinants)
Lipopeptide	bgi-NLM009	1.59664299307e-09	Ab (determinants)
Fluoroquinolone	bgi-NLM009	2.46920456719e-09	Ab (determinants)
Oxazolidinone	bgi-NLM009	0	Ab (determinants)
Acridine dye	bgi-NLM009	0	Ab (determinants)
Macrolide	bgi-NLM009	3.60287503848e-07	Ab (determinants)
Phenicol	bgi-NLM009	7.01175112098e-10	Ab (determinants)
Elfamycin	bgi-NLM009	0	Ab (determinants)
Beta-lactam	bgi-NLM009	3.24326296005e-07	Ab (determinants)
Peptide	bgi-NLM009	2.48270493434e-10	Ab (determinants)
Coumarin	bgi-NLM009	3.92059262269e-09	Ab (mutations)
Rifampin	bgi-NLM009	9.19706941601e-09	Ab (mutations)
Sulfonamides	bgi-NLM009	1.61094966817e-09	Ab (mutations)
Fluoroquinolones	bgi-NLM009	8.50827371905e-08	Ab (mutations)
Aminoglycoside	bgi-NLM002	2.60714674484e-08	Ab (determinants)
Tetracycline derivative	bgi-NLM002	1.44763000097e-07	Ab (determinants)
Nucleoside	bgi-NLM002	0	Ab (determinants)
Pleuromutilin	bgi-NLM002	0	Ab (determinants)
Diaminopyrimidine	bgi-NLM002	5.98668419463e-09	Ab (determinants)
Glycopeptide	bgi-NLM002	0	Ab (determinants)
Lincosamide	bgi-NLM002	3.0459153749e-07	Ab (determinants)
Streptogramin	bgi-NLM002	3.02691087241e-07	Ab (determinants)
Sulfonamide	bgi-NLM002	6.33299548389e-09	Ab (determinants)
Aminonucleoside	bgi-NLM002	0	Ab (determinants)
Aminocoumarin	bgi-NLM002	1.89083398655e-08	Ab (determinants)
Mixture	bgi-NLM002	2.99925621647e-08	Ab (determinants)
Miscellaneous	bgi-NLM002	6.96598776979e-10	Ab (determinants)
Rifamycin	bgi-NLM002	6.85699165927e-09	Ab (determinants)
Lipopeptide	bgi-NLM002	2.97596051545e-08	Ab (determinants)
Fluoroquinolone	bgi-NLM002	4.91701002302e-08	Ab (determinants)
Oxazolidinone	bgi-NLM002	0	Ab (determinants)
Acridine dye	bgi-NLM002	3.43353289857e-11	Ab (determinants)
Macrolide	bgi-NLM002	3.27446169356e-07	Ab (determinants)
Phenicol	bgi-NLM002	8.57413277916e-09	Ab (determinants)
Elfamycin	bgi-NLM002	0	Ab (determinants)
Beta-lactam	bgi-NLM002	2.95914835993e-07	Ab (determinants)
Peptide	bgi-NLM002	4.93580487247e-09	Ab (determinants)
Coumarin	bgi-NLM002	1.37213054799e-09	Ab (mutations)
Rifampin	bgi-NLM002	7.73765513248e-09	Ab (mutations)
Sulfonamides	bgi-NLM002	6.26216480597e-09	Ab (mutations)
Fluoroquinolones	bgi-NLM002	5.02092800722e-08	Ab (mutations)
Aminoglycoside	bgi-DLM015	3.62163345144e-08	Ab (determinants)
Tetracycline derivative	bgi-DLM015	5.35245504802e-07	Ab (determinants)
Nucleoside	bgi-DLM015	1.06730548982e-10	Ab (determinants)
Pleuromutilin	bgi-DLM015	0	Ab (determinants)
Diaminopyrimidine	bgi-DLM015	3.89912063556e-09	Ab (determinants)
Glycopeptide	bgi-DLM015	0	Ab (determinants)
Lincosamide	bgi-DLM015	1.72792044231e-07	Ab (determinants)
Streptogramin	bgi-DLM015	1.43240040847e-07	Ab (determinants)
Sulfonamide	bgi-DLM015	1.57015197805e-08	Ab (determinants)
Aminonucleoside	bgi-DLM015	0	Ab (determinants)
Aminocoumarin	bgi-DLM015	6.82901427572e-09	Ab (determinants)
Mixture	bgi-DLM015	1.94679259811e-08	Ab (determinants)
Miscellaneous	bgi-DLM015	0	Ab (determinants)
Rifamycin	bgi-DLM015	2.05738805671e-09	Ab (determinants)
Lipopeptide	bgi-DLM015	1.09429790891e-08	Ab (determinants)
Fluoroquinolone	bgi-DLM015	1.56917144444e-08	Ab (determinants)
Oxazolidinone	bgi-DLM015	0	Ab (determinants)
Acridine dye	bgi-DLM015	0	Ab (determinants)
Macrolide	bgi-DLM015	1.53074728801e-07	Ab (determinants)
Phenicol	bgi-DLM015	2.79268744856e-09	Ab (determinants)
Elfamycin	bgi-DLM015	0	Ab (determinants)
Beta-lactam	bgi-DLM015	1.33411501205e-07	Ab (determinants)
Peptide	bgi-DLM015	1.44624432836e-09	Ab (determinants)
Coumarin	bgi-DLM015	1.73827778786e-09	Ab (mutations)
Rifampin	bgi-DLM015	5.61606823749e-09	Ab (mutations)
Sulfonamides	bgi-DLM015	9.62679649797e-09	Ab (mutations)
Fluoroquinolones	bgi-DLM015	6.2433499209e-08	Ab (mutations)
Metals	bgi-T2D-118A	9.17344593454e-06	Metals
Biocides	bgi-T2D-118A	6.45081649845e-06	Biocides
Metals	bgi-DOM015	3.89636174365e-06	Metals
Biocides	bgi-DOM015	1.28281417017e-06	Biocides
Metals	bgi-T2D-134A	5.34316383381e-06	Metals
Biocides	bgi-T2D-134A	2.70450439896e-06	Biocides
Aminoglycoside	bgi-DLF001	2.9015199025e-08	Ab (determinants)
Tetracycline derivative	bgi-DLF001	6.95341819363e-07	Ab (determinants)
Nucleoside	bgi-DLF001	2.48932304783e-09	Ab (determinants)
Pleuromutilin	bgi-DLF001	0	Ab (determinants)
Diaminopyrimidine	bgi-DLF001	8.25416349248e-09	Ab (determinants)
Glycopeptide	bgi-DLF001	1.17276588141e-10	Ab (determinants)
Lincosamide	bgi-DLF001	1.41656190537e-07	Ab (determinants)
Streptogramin	bgi-DLF001	1.38082943239e-07	Ab (determinants)
Sulfonamide	bgi-DLF001	1.49173415026e-07	Ab (determinants)
Aminonucleoside	bgi-DLF001	0	Ab (determinants)
Aminocoumarin	bgi-DLF001	4.29567453438e-09	Ab (determinants)
Mixture	bgi-DLF001	2.70776220893e-08	Ab (determinants)
Miscellaneous	bgi-DLF001	0	Ab (determinants)
Rifamycin	bgi-DLF001	1.82582837516e-09	Ab (determinants)
Lipopeptide	bgi-DLF001	8.06148444324e-09	Ab (determinants)
Fluoroquinolone	bgi-DLF001	1.128886818e-08	Ab (determinants)
Oxazolidinone	bgi-DLF001	0	Ab (determinants)
Acridine dye	bgi-DLF001	0	Ab (determinants)
Macrolide	bgi-DLF001	1.75898698739e-07	Ab (determinants)
Phenicol	bgi-DLF001	4.18330243424e-08	Ab (determinants)
Elfamycin	bgi-DLF001	0	Ab (determinants)
Beta-lactam	bgi-DLF001	2.5859348111e-08	Ab (determinants)
Peptide	bgi-DLF001	1.79169421258e-09	Ab (determinants)
Coumarin	bgi-DLF001	5.92365012714e-10	Ab (mutations)
Rifampin	bgi-DLF001	5.91686836605e-09	Ab (mutations)
Sulfonamides	bgi-DLF001	2.40974757464e-08	Ab (mutations)
Fluoroquinolones	bgi-DLF001	4.74967527467e-08	Ab (mutations)
Metals	bgi-N027A	2.90419519526e-06	Metals
Biocides	bgi-N027A	7.27957057861e-07	Biocides
Aminoglycoside	bgi-NLM017	9.50304896013e-09	Ab (determinants)
Tetracycline derivative	bgi-NLM017	2.01019465856e-07	Ab (determinants)
Nucleoside	bgi-NLM017	6.02641788369e-11	Ab (determinants)
Pleuromutilin	bgi-NLM017	0	Ab (determinants)
Diaminopyrimidine	bgi-NLM017	6.27034445108e-09	Ab (determinants)
Glycopeptide	bgi-NLM017	0	Ab (determinants)
Lincosamide	bgi-NLM017	1.33769456928e-07	Ab (determinants)
Streptogramin	bgi-NLM017	1.28557398108e-07	Ab (determinants)
Sulfonamide	bgi-NLM017	1.41653394673e-10	Ab (determinants)
Aminonucleoside	bgi-NLM017	0	Ab (determinants)
Aminocoumarin	bgi-NLM017	5.06029872656e-09	Ab (determinants)
Mixture	bgi-NLM017	1.62925342089e-08	Ab (determinants)
Miscellaneous	bgi-NLM017	0	Ab (determinants)
Rifamycin	bgi-NLM017	1.83915903644e-09	Ab (determinants)
Lipopeptide	bgi-NLM017	1.17707260627e-08	Ab (determinants)
Fluoroquinolone	bgi-NLM017	1.59318098746e-08	Ab (determinants)
Oxazolidinone	bgi-NLM017	0	Ab (determinants)
Acridine dye	bgi-NLM017	0	Ab (determinants)
Macrolide	bgi-NLM017	1.35683845915e-07	Ab (determinants)
Phenicol	bgi-NLM017	2.23481754765e-09	Ab (determinants)
Elfamycin	bgi-NLM017	0	Ab (determinants)
Beta-lactam	bgi-NLM017	4.2788833429e-08	Ab (determinants)
Peptide	bgi-NLM017	1.75271371159e-09	Ab (determinants)
Coumarin	bgi-NLM017	1.67823556611e-09	Ab (mutations)
Rifampin	bgi-NLM017	4.45383528276e-09	Ab (mutations)
Sulfonamides	bgi-NLM017	2.4318851969e-10	Ab (mutations)
Fluoroquinolones	bgi-NLM017	3.66621677137e-08	Ab (mutations)
Aminoglycoside	bgi-N047A	2.74276916354e-08	Ab (determinants)
Tetracycline derivative	bgi-N047A	1.9007907253e-07	Ab (determinants)
Nucleoside	bgi-N047A	7.72016009959e-10	Ab (determinants)
Pleuromutilin	bgi-N047A	0	Ab (determinants)
Diaminopyrimidine	bgi-N047A	2.97064169217e-09	Ab (determinants)
Glycopeptide	bgi-N047A	0	Ab (determinants)
Lincosamide	bgi-N047A	5.05714445114e-08	Ab (determinants)
Streptogramin	bgi-N047A	5.02215229771e-08	Ab (determinants)
Sulfonamide	bgi-N047A	4.53863236634e-09	Ab (determinants)
Aminonucleoside	bgi-N047A	0	Ab (determinants)
Aminocoumarin	bgi-N047A	2.6670590878e-09	Ab (determinants)
Mixture	bgi-N047A	1.15411925336e-08	Ab (determinants)
Miscellaneous	bgi-N047A	2.08789111465e-10	Ab (determinants)
Rifamycin	bgi-N047A	1.04111231586e-09	Ab (determinants)
Lipopeptide	bgi-N047A	3.46146784873e-09	Ab (determinants)
Fluoroquinolone	bgi-N047A	5.85052954253e-09	Ab (determinants)
Oxazolidinone	bgi-N047A	0	Ab (determinants)
Acridine dye	bgi-N047A	7.0350214315e-12	Ab (determinants)
Macrolide	bgi-N047A	5.31924659692e-08	Ab (determinants)
Phenicol	bgi-N047A	2.11036373303e-09	Ab (determinants)
Elfamycin	bgi-N047A	0	Ab (determinants)
Beta-lactam	bgi-N047A	5.55796563833e-08	Ab (determinants)
Peptide	bgi-N047A	6.44589181175e-10	Ab (determinants)
Coumarin	bgi-N047A	2.14366639633e-09	Ab (mutations)
Rifampin	bgi-N047A	4.63401657468e-09	Ab (mutations)
Sulfonamides	bgi-N047A	3.75857607159e-10	Ab (mutations)
Fluoroquinolones	bgi-N047A	4.04857772236e-08	Ab (mutations)
Metals	bgi-DLM015	3.80739273058e-06	Metals
Biocides	bgi-DLM015	1.64842898976e-06	Biocides
Metals	bgi-T2D-20A	5.55514513242e-06	Metals
Biocides	bgi-T2D-20A	1.84076113962e-06	Biocides
Metals	bgi-N043A	5.93673270341e-06	Metals
Biocides	bgi-N043A	3.13069778631e-06	Biocides
Metals	bgi-DOM012	1.99567700376e-06	Metals
Biocides	bgi-DOM012	1.16072411088e-06	Biocides
Aminoglycoside	bgi-BGI-15A	9.10043591447e-09	Ab (determinants)
Tetracycline derivative	bgi-BGI-15A	2.48573640296e-07	Ab (determinants)
Nucleoside	bgi-BGI-15A	1.98237057519e-09	Ab (determinants)
Pleuromutilin	bgi-BGI-15A	0	Ab (determinants)
Diaminopyrimidine	bgi-BGI-15A	4.94139292936e-09	Ab (determinants)
Glycopeptide	bgi-BGI-15A	2.7014603947e-10	Ab (determinants)
Lincosamide	bgi-BGI-15A	2.35345215738e-07	Ab (determinants)
Streptogramin	bgi-BGI-15A	2.25632911533e-07	Ab (determinants)
Sulfonamide	bgi-BGI-15A	1.85994755647e-09	Ab (determinants)
Aminonucleoside	bgi-BGI-15A	0	Ab (determinants)
Aminocoumarin	bgi-BGI-15A	3.38559206409e-10	Ab (determinants)
Mixture	bgi-BGI-15A	6.34885758533e-09	Ab (determinants)
Miscellaneous	bgi-BGI-15A	0	Ab (determinants)
Rifamycin	bgi-BGI-15A	0	Ab (determinants)
Lipopeptide	bgi-BGI-15A	4.33901038013e-10	Ab (determinants)
Fluoroquinolone	bgi-BGI-15A	6.36836442293e-10	Ab (determinants)
Oxazolidinone	bgi-BGI-15A	0	Ab (determinants)
Acridine dye	bgi-BGI-15A	0	Ab (determinants)
Macrolide	bgi-BGI-15A	2.25774493024e-07	Ab (determinants)
Phenicol	bgi-BGI-15A	8.78991379271e-10	Ab (determinants)
Elfamycin	bgi-BGI-15A	0	Ab (determinants)
Beta-lactam	bgi-BGI-15A	1.74409746229e-07	Ab (determinants)
Peptide	bgi-BGI-15A	1.19121793097e-10	Ab (determinants)
Coumarin	bgi-BGI-15A	5.20324494718e-10	Ab (mutations)
Rifampin	bgi-BGI-15A	6.21209313775e-09	Ab (mutations)
Sulfonamides	bgi-BGI-15A	2.01559815724e-08	Ab (mutations)
Fluoroquinolones	bgi-BGI-15A	5.66846950741e-08	Ab (mutations)
Aminoglycoside	bgi-DOM013	1.44775410751e-08	Ab (determinants)
Tetracycline derivative	bgi-DOM013	3.04840543853e-07	Ab (determinants)
Nucleoside	bgi-DOM013	3.06148258974e-10	Ab (determinants)
Pleuromutilin	bgi-DOM013	0	Ab (determinants)
Diaminopyrimidine	bgi-DOM013	3.23246471176e-09	Ab (determinants)
Glycopeptide	bgi-DOM013	2.76339256794e-10	Ab (determinants)
Lincosamide	bgi-DOM013	2.05633599011e-07	Ab (determinants)
Streptogramin	bgi-DOM013	1.78829661481e-07	Ab (determinants)
Sulfonamide	bgi-DOM013	6.20252215162e-10	Ab (determinants)
Aminonucleoside	bgi-DOM013	0	Ab (determinants)
Aminocoumarin	bgi-DOM013	1.35246732504e-09	Ab (determinants)
Mixture	bgi-DOM013	1.466901197e-08	Ab (determinants)
Miscellaneous	bgi-DOM013	0	Ab (determinants)
Rifamycin	bgi-DOM013	5.46826275029e-10	Ab (determinants)
Lipopeptide	bgi-DOM013	3.73157729748e-09	Ab (determinants)
Fluoroquinolone	bgi-DOM013	4.85086797703e-09	Ab (determinants)
Oxazolidinone	bgi-DOM013	0	Ab (determinants)
Acridine dye	bgi-DOM013	0	Ab (determinants)
Macrolide	bgi-DOM013	1.80561032122e-07	Ab (determinants)
Phenicol	bgi-DOM013	1.76297637844e-09	Ab (determinants)
Elfamycin	bgi-DOM013	0	Ab (determinants)
Beta-lactam	bgi-DOM013	4.39600015106e-08	Ab (determinants)
Peptide	bgi-DOM013	3.17998816473e-10	Ab (determinants)
Coumarin	bgi-DOM013	1.45450172725e-09	Ab (mutations)
Rifampin	bgi-DOM013	5.53306868047e-09	Ab (mutations)
Sulfonamides	bgi-DOM013	1.78977074443e-08	Ab (mutations)
Fluoroquinolones	bgi-DOM013	3.64130408952e-08	Ab (mutations)
Aminoglycoside	bgi-DLM014	8.77724632357e-09	Ab (determinants)
Tetracycline derivative	bgi-DLM014	5.95851142722e-07	Ab (determinants)
Nucleoside	bgi-DLM014	6.0440113885e-11	Ab (determinants)
Pleuromutilin	bgi-DLM014	0	Ab (determinants)
Diaminopyrimidine	bgi-DLM014	3.29063503029e-09	Ab (determinants)
Glycopeptide	bgi-DLM014	1.53642158661e-11	Ab (determinants)
Lincosamide	bgi-DLM014	1.42331339782e-07	Ab (determinants)
Streptogramin	bgi-DLM014	1.30619342151e-07	Ab (determinants)
Sulfonamide	bgi-DLM014	4.92312238302e-09	Ab (determinants)
Aminonucleoside	bgi-DLM014	0	Ab (determinants)
Aminocoumarin	bgi-DLM014	8.19696388073e-10	Ab (determinants)
Mixture	bgi-DLM014	5.28158218925e-09	Ab (determinants)
Miscellaneous	bgi-DLM014	4.42655363132e-11	Ab (determinants)
Rifamycin	bgi-DLM014	4.72054044643e-10	Ab (determinants)
Lipopeptide	bgi-DLM014	9.29891916698e-10	Ab (determinants)
Fluoroquinolone	bgi-DLM014	2.11708593727e-09	Ab (determinants)
Oxazolidinone	bgi-DLM014	0	Ab (determinants)
Acridine dye	bgi-DLM014	2.15109073951e-11	Ab (determinants)
Macrolide	bgi-DLM014	1.31563316389e-07	Ab (determinants)
Phenicol	bgi-DLM014	1.07159532292e-09	Ab (determinants)
Elfamycin	bgi-DLM014	0	Ab (determinants)
Beta-lactam	bgi-DLM014	2.50109409933e-08	Ab (determinants)
Peptide	bgi-DLM014	1.99753474808e-10	Ab (determinants)
Coumarin	bgi-DLM014	1.5116004616e-09	Ab (mutations)
Rifampin	bgi-DLM014	6.8135579727e-09	Ab (mutations)
Sulfonamides	bgi-DLM014	3.80271180418e-09	Ab (mutations)
Fluoroquinolones	bgi-DLM014	5.76754787577e-08	Ab (mutations)
Aminoglycoside	bgi-N005A	6.18538181507e-08	Ab (determinants)
Tetracycline derivative	bgi-N005A	3.00118841119e-07	Ab (determinants)
Nucleoside	bgi-N005A	7.61333255568e-10	Ab (determinants)
Pleuromutilin	bgi-N005A	0	Ab (determinants)
Diaminopyrimidine	bgi-N005A	7.4598826038e-09	Ab (determinants)
Glycopeptide	bgi-N005A	1.82719981336e-10	Ab (determinants)
Lincosamide	bgi-N005A	2.20525309857e-07	Ab (determinants)
Streptogramin	bgi-N005A	2.09949537837e-07	Ab (determinants)
Sulfonamide	bgi-N005A	3.22228833709e-09	Ab (determinants)
Aminonucleoside	bgi-N005A	0	Ab (determinants)
Aminocoumarin	bgi-N005A	6.46300821186e-08	Ab (determinants)
Mixture	bgi-N005A	9.53212069789e-08	Ab (determinants)
Miscellaneous	bgi-N005A	6.26486579276e-09	Ab (determinants)
Rifamycin	bgi-N005A	2.43225281189e-08	Ab (determinants)
Lipopeptide	bgi-N005A	8.71981236904e-08	Ab (determinants)
Fluoroquinolone	bgi-N005A	1.50973521414e-07	Ab (determinants)
Oxazolidinone	bgi-N005A	0	Ab (determinants)
Acridine dye	bgi-N005A	0	Ab (determinants)
Macrolide	bgi-N005A	2.73786312226e-07	Ab (determinants)
Phenicol	bgi-N005A	2.79033114187e-08	Ab (determinants)
Elfamycin	bgi-N005A	0	Ab (determinants)
Beta-lactam	bgi-N005A	2.59070906506e-07	Ab (determinants)
Peptide	bgi-N005A	1.65180639264e-08	Ab (determinants)
Coumarin	bgi-N005A	2.92753853206e-09	Ab (mutations)
Rifampin	bgi-N005A	7.30563728083e-09	Ab (mutations)
Sulfonamides	bgi-N005A	7.91921164102e-09	Ab (mutations)
Fluoroquinolones	bgi-N005A	5.20465112161e-08	Ab (mutations)
Metals	bgi-T2D-109A	5.12704891435e-06	Metals
Biocides	bgi-T2D-109A	2.39540623641e-06	Biocides
Aminoglycoside	bgi-DLF007	2.77896833633e-08	Ab (determinants)
Tetracycline derivative	bgi-DLF007	1.10930852725e-06	Ab (determinants)
Nucleoside	bgi-DLF007	1.1514711005e-10	Ab (determinants)
Pleuromutilin	bgi-DLF007	0	Ab (determinants)
Diaminopyrimidine	bgi-DLF007	9.54963841265e-09	Ab (determinants)
Glycopeptide	bgi-DLF007	5.45200242549e-10	Ab (determinants)
Lincosamide	bgi-DLF007	9.3596816053e-07	Ab (determinants)
