category	sample	sum_abund
Glycopeptide	SWE_T2D-483	2.32e-10
Coumarin	SWE_T2D-483	6.04e-08
Rifampin	SWE_T2D-483	1.30e-07
Sulfonamides	SWE_T2D-483	2.40e-09
Fluoroquinolones	SWE_T2D-483	2.34e-07
Metals	SWE_T2D-483	6.21e-06
Biocides	SWE_T2D-483	1.58e-06
Fluoroquinolone	SWE_T2D-484	4.48e-09
Aminoglycoside	SWE_T2D-484	1.39e-09
Lipopeptide	SWE_T2D-484	2.44e-09
Peptide	SWE_T2D-484	6.11e-10
Tetracycline derivative	SWE_T2D-484	9.89e-08
Streptogramin	SWE_T2D-484	1.42e-09
Macrolide	SWE_T2D-484	2.77e-09
Sulfonamide	SWE_T2D-484	8.15e-11
Aminocoumarin	SWE_T2D-484	2.12e-09
Rifamycin	SWE_T2D-484	8.60e-10
Diaminopyrimidine	SWE_T2D-484	1.43e-09
Nucleoside	SWE_T2D-484	4.20e-11
Beta-lactam	SWE_T2D-484	7.67e-08
Phenicol	SWE_T2D-484	9.06e-10
Lincosamide	SWE_T2D-484	7.82e-09
Glycopeptide	SWE_T2D-484	1.54e-10
Coumarin	SWE_T2D-484	1.80e-08
Rifampin	SWE_T2D-484	1.43e-07
Sulfonamides	SWE_T2D-484	1.17e-09
Fluoroquinolones	SWE_T2D-484	2.20e-07
Metals	SWE_T2D-484	5.91e-06
Biocides	SWE_T2D-484	1.54e-06
Fluoroquinolone	SWE_T2D-485	2.23e-09
Aminoglycoside	SWE_T2D-485	2.32e-09
Lipopeptide	SWE_T2D-485	7.45e-10
Peptide	SWE_T2D-485	2.14e-10
Tetracycline derivative	SWE_T2D-485	2.15e-07
Streptogramin	SWE_T2D-485	1.28e-08
Macrolide	SWE_T2D-485	1.55e-08
Sulfonamide	SWE_T2D-485	5.23e-10
Aminocoumarin	SWE_T2D-485	9.19e-10
Rifamycin	SWE_T2D-485	3.24e-10
Diaminopyrimidine	SWE_T2D-485	1.28e-09
Nucleoside	SWE_T2D-485	3.24e-10
Beta-lactam	SWE_T2D-485	5.12e-09
Phenicol	SWE_T2D-485	1.22e-08
Lincosamide	SWE_T2D-485	1.30e-08
Glycopeptide	SWE_T2D-485	1.15e-10
Coumarin	SWE_T2D-485	2.88e-08
Rifampin	SWE_T2D-485	6.61e-08
Sulfonamides	SWE_T2D-485	1.95e-10
Fluoroquinolones	SWE_T2D-485	1.25e-07
Metals	SWE_T2D-485	4.00e-06
Biocides	SWE_T2D-485	9.64e-07
Fluoroquinolone	SWE_T2D-487	1.97e-09
Aminoglycoside	SWE_T2D-487	1.50e-09
Lipopeptide	SWE_T2D-487	1.39e-09
Peptide	SWE_T2D-487	1.86e-10
Tetracycline derivative	SWE_T2D-487	3.32e-07
Streptogramin	SWE_T2D-487	1.68e-09
Macrolide	SWE_T2D-487	2.56e-09
Aminocoumarin	SWE_T2D-487	6.83e-10
Rifamycin	SWE_T2D-487	2.99e-10
Diaminopyrimidine	SWE_T2D-487	3.70e-09
Nucleoside	SWE_T2D-487	1.61e-10
Beta-lactam	SWE_T2D-487	3.10e-09
Phenicol	SWE_T2D-487	1.19e-09
Lincosamide	SWE_T2D-487	2.82e-09
Glycopeptide	SWE_T2D-487	1.77e-09
Coumarin	SWE_T2D-487	4.07e-08
Rifampin	SWE_T2D-487	7.12e-08
Sulfonamides	SWE_T2D-487	6.15e-09
Fluoroquinolones	SWE_T2D-487	7.74e-08
Metals	SWE_T2D-487	6.72e-06
Biocides	SWE_T2D-487	1.50e-06
Fluoroquinolone	SWE_T2D-488	4.06e-09
Aminoglycoside	SWE_T2D-488	5.72e-09
Lipopeptide	SWE_T2D-488	3.63e-09
Peptide	SWE_T2D-488	4.52e-10
Tetracycline derivative	SWE_T2D-488	1.91e-07
Streptogramin	SWE_T2D-488	1.90e-08
Macrolide	SWE_T2D-488	2.13e-08
Sulfonamide	SWE_T2D-488	1.48e-11
Aminocoumarin	SWE_T2D-488	1.55e-09
Rifamycin	SWE_T2D-488	5.73e-10
Diaminopyrimidine	SWE_T2D-488	2.99e-09
Nucleoside	SWE_T2D-488	6.10e-10
Beta-lactam	SWE_T2D-488	1.38e-08
Phenicol	SWE_T2D-488	3.87e-09
Lincosamide	SWE_T2D-488	2.04e-08
Glycopeptide	SWE_T2D-488	1.79e-10
Coumarin	SWE_T2D-488	2.83e-08
Rifampin	SWE_T2D-488	7.01e-08
Sulfonamides	SWE_T2D-488	3.10e-09
Fluoroquinolones	SWE_T2D-488	1.37e-07
Metals	SWE_T2D-488	6.34e-06
Biocides	SWE_T2D-488	1.66e-06
Fluoroquinolone	SWE_T2D-495	3.13e-10
Aminoglycoside	SWE_T2D-495	2.32e-09
Lipopeptide	SWE_T2D-495	2.51e-10
Peptide	SWE_T2D-495	5.75e-11
Tetracycline derivative	SWE_T2D-495	1.46e-07
Streptogramin	SWE_T2D-495	3.68e-10
Macrolide	SWE_T2D-495	7.10e-10
Sulfonamide	SWE_T2D-495	1.99e-10
Aminocoumarin	SWE_T2D-495	1.65e-10
Rifamycin	SWE_T2D-495	3.18e-11
Diaminopyrimidine	SWE_T2D-495	2.25e-09
Nucleoside	SWE_T2D-495	7.83e-10
Beta-lactam	SWE_T2D-495	5.04e-09
Phenicol	SWE_T2D-495	8.82e-09
Lincosamide	SWE_T2D-495	1.10e-09
Glycopeptide	SWE_T2D-495	2.60e-10
Coumarin	SWE_T2D-495	4.56e-08
Rifampin	SWE_T2D-495	1.00e-07
Sulfonamides	SWE_T2D-495	3.56e-09
Fluoroquinolones	SWE_T2D-495	2.05e-07
Metals	SWE_T2D-495	6.30e-06
Biocides	SWE_T2D-495	1.47e-06
Fluoroquinolone	SWE_T2D-497	1.78e-10
Aminoglycoside	SWE_T2D-497	4.42e-09
Lipopeptide	SWE_T2D-497	1.36e-10
Peptide	SWE_T2D-497	6.10e-11
Tetracycline derivative	SWE_T2D-497	1.11e-07
Streptogramin	SWE_T2D-497	5.89e-09
Macrolide	SWE_T2D-497	6.27e-09
Aminocoumarin	SWE_T2D-497	8.11e-11
Diaminopyrimidine	SWE_T2D-497	9.62e-10
Beta-lactam	SWE_T2D-497	5.75e-08
Phenicol	SWE_T2D-497	1.70e-09
Lincosamide	SWE_T2D-497	5.70e-09
Glycopeptide	SWE_T2D-497	1.74e-10
Coumarin	SWE_T2D-497	2.31e-08
Rifampin	SWE_T2D-497	1.05e-07
Sulfonamides	SWE_T2D-497	1.82e-09
Fluoroquinolones	SWE_T2D-497	1.31e-07
Metals	SWE_T2D-497	5.97e-06
Biocides	SWE_T2D-497	1.42e-06
Fluoroquinolone	SWE_T2D-517	2.85e-11
Aminoglycoside	SWE_T2D-517	6.76e-09
Tetracycline derivative	SWE_T2D-517	4.93e-08
Streptogramin	SWE_T2D-517	1.12e-08
Macrolide	SWE_T2D-517	1.13e-08
Aminocoumarin	SWE_T2D-517	4.64e-11
Rifamycin	SWE_T2D-517	7.67e-12
Diaminopyrimidine	SWE_T2D-517	1.03e-08
Nucleoside	SWE_T2D-517	4.44e-11
Beta-lactam	SWE_T2D-517	4.90e-08
Phenicol	SWE_T2D-517	1.02e-09
Lincosamide	SWE_T2D-517	1.10e-08
Glycopeptide	SWE_T2D-517	2.31e-10
Coumarin	SWE_T2D-517	2.20e-08
Rifampin	SWE_T2D-517	1.44e-07
Sulfonamides	SWE_T2D-517	4.68e-10
Fluoroquinolones	SWE_T2D-517	2.16e-07
Metals	SWE_T2D-517	5.66e-06
Biocides	SWE_T2D-517	1.30e-06
Fluoroquinolone	SWE_T2D-51	3.02e-09
Aminoglycoside	SWE_T2D-51	1.21e-08
Lipopeptide	SWE_T2D-51	1.78e-09
Peptide	SWE_T2D-51	2.28e-10
Tetracycline derivative	SWE_T2D-51	1.49e-07
Streptogramin	SWE_T2D-51	9.61e-09
Macrolide	SWE_T2D-51	1.24e-08
Sulfonamide	SWE_T2D-51	5.12e-10
Aminocoumarin	SWE_T2D-51	9.75e-10
Rifamycin	SWE_T2D-51	1.89e-10
Diaminopyrimidine	SWE_T2D-51	5.91e-10
Nucleoside	SWE_T2D-51	6.30e-09
Beta-lactam	SWE_T2D-51	8.83e-09
Phenicol	SWE_T2D-51	3.39e-09
Lincosamide	SWE_T2D-51	6.66e-09
Coumarin	SWE_T2D-51	8.51e-08
Rifampin	SWE_T2D-51	1.43e-07
Sulfonamides	SWE_T2D-51	5.28e-09
Fluoroquinolones	SWE_T2D-51	2.37e-07
Metals	SWE_T2D-51	6.82e-06
Biocides	SWE_T2D-51	1.65e-06
Fluoroquinolone	SWE_T2D-524	1.12e-09
Aminoglycoside	SWE_T2D-524	1.26e-08
Lipopeptide	SWE_T2D-524	5.68e-10
Peptide	SWE_T2D-524	3.67e-10
Tetracycline derivative	SWE_T2D-524	1.59e-07
Streptogramin	SWE_T2D-524	4.89e-09
Macrolide	SWE_T2D-524	5.58e-09
Sulfonamide	SWE_T2D-524	6.71e-11
Aminocoumarin	SWE_T2D-524	6.21e-10
Rifamycin	SWE_T2D-524	1.56e-10
Diaminopyrimidine	SWE_T2D-524	1.21e-08
Nucleoside	SWE_T2D-524	6.55e-10
Beta-lactam	SWE_T2D-524	6.47e-09
Phenicol	SWE_T2D-524	1.95e-08
Lincosamide	SWE_T2D-524	5.77e-09
Glycopeptide	SWE_T2D-524	1.84e-10
Coumarin	SWE_T2D-524	3.64e-08
Rifampin	SWE_T2D-524	1.13e-07
Sulfonamides	SWE_T2D-524	4.39e-09
Fluoroquinolones	SWE_T2D-524	1.58e-07
Metals	SWE_T2D-524	6.27e-06
Biocides	SWE_T2D-524	1.39e-06
Fluoroquinolone	SWE_T2D-526	2.58e-08
Aminoglycoside	SWE_T2D-526	1.70e-08
Lipopeptide	SWE_T2D-526	1.74e-08
Peptide	SWE_T2D-526	3.23e-09
Tetracycline derivative	SWE_T2D-526	1.63e-07
Streptogramin	SWE_T2D-526	2.39e-08
Macrolide	SWE_T2D-526	3.48e-08
Sulfonamide	SWE_T2D-526	7.76e-12
Aminocoumarin	SWE_T2D-526	1.10e-08
Rifamycin	SWE_T2D-526	3.84e-09
Diaminopyrimidine	SWE_T2D-526	1.26e-09
Nucleoside	SWE_T2D-526	3.45e-09
Beta-lactam	SWE_T2D-526	3.66e-08
Phenicol	SWE_T2D-526	2.43e-08
Lincosamide	SWE_T2D-526	2.53e-08
Glycopeptide	SWE_T2D-526	1.08e-08
Coumarin	SWE_T2D-526	1.72e-08
Rifampin	SWE_T2D-526	5.52e-08
Sulfonamides	SWE_T2D-526	6.16e-09
Fluoroquinolones	SWE_T2D-526	7.83e-08
Metals	SWE_T2D-526	7.00e-06
Biocides	SWE_T2D-526	1.96e-06
Fluoroquinolone	SWE_T2D-529	2.31e-09
Aminoglycoside	SWE_T2D-529	1.69e-09
Lipopeptide	SWE_T2D-529	1.63e-09
Peptide	SWE_T2D-529	2.48e-10
Tetracycline derivative	SWE_T2D-529	5.45e-08
Streptogramin	SWE_T2D-529	1.16e-09
Macrolide	SWE_T2D-529	2.01e-09
Sulfonamide	SWE_T2D-529	9.49e-10
Aminocoumarin	SWE_T2D-529	7.98e-10
Rifamycin	SWE_T2D-529	3.06e-10
Diaminopyrimidine	SWE_T2D-529	9.46e-10
Beta-lactam	SWE_T2D-529	4.08e-09
Phenicol	SWE_T2D-529	9.56e-10
Lincosamide	SWE_T2D-529	1.32e-09
Coumarin	SWE_T2D-529	2.82e-08
Rifampin	SWE_T2D-529	1.71e-07
Sulfonamides	SWE_T2D-529	1.08e-08
Fluoroquinolones	SWE_T2D-529	2.04e-07
Metals	SWE_T2D-529	6.17e-06
Biocides	SWE_T2D-529	1.27e-06
Fluoroquinolone	SWE_T2D-530	1.22e-10
Aminoglycoside	SWE_T2D-530	1.75e-09
Lipopeptide	SWE_T2D-530	7.81e-11
Tetracycline derivative	SWE_T2D-530	7.11e-08
Streptogramin	SWE_T2D-530	1.97e-08
Macrolide	SWE_T2D-530	8.20e-09
Sulfonamide	SWE_T2D-530	2.20e-10
Aminocoumarin	SWE_T2D-530	2.51e-11
Rifamycin	SWE_T2D-530	3.85e-11
Diaminopyrimidine	SWE_T2D-530	1.36e-08
Beta-lactam	SWE_T2D-530	4.45e-09
Phenicol	SWE_T2D-530	1.65e-08
Lincosamide	SWE_T2D-530	2.08e-08
Glycopeptide	SWE_T2D-530	3.87e-09
Coumarin	SWE_T2D-530	5.06e-08
Rifampin	SWE_T2D-530	1.50e-07
Sulfonamides	SWE_T2D-530	1.67e-09
Fluoroquinolones	SWE_T2D-530	1.82e-07
Metals	SWE_T2D-530	6.79e-06
Biocides	SWE_T2D-530	1.47e-06
Fluoroquinolone	SWE_T2D-536	1.98e-08
Aminoglycoside	SWE_T2D-536	2.99e-09
Lipopeptide	SWE_T2D-536	1.39e-08
Peptide	SWE_T2D-536	2.03e-09
Tetracycline derivative	SWE_T2D-536	1.29e-07
Streptogramin	SWE_T2D-536	3.16e-08
Macrolide	SWE_T2D-536	4.02e-08
Aminocoumarin	SWE_T2D-536	9.35e-09
Rifamycin	SWE_T2D-536	2.94e-09
Diaminopyrimidine	SWE_T2D-536	9.20e-09
Nucleoside	SWE_T2D-536	2.60e-10
Beta-lactam	SWE_T2D-536	1.55e-08
Phenicol	SWE_T2D-536	3.91e-09
Lincosamide	SWE_T2D-536	3.23e-08
Glycopeptide	SWE_T2D-536	1.29e-10
Coumarin	SWE_T2D-536	1.12e-07
Rifampin	SWE_T2D-536	1.54e-07
Sulfonamides	SWE_T2D-536	1.56e-08
Fluoroquinolones	SWE_T2D-536	2.25e-07
Metals	SWE_T2D-536	6.90e-06
Biocides	SWE_T2D-536	1.80e-06
Fluoroquinolone	SWE_T2D-53	4.65e-11
Aminoglycoside	SWE_T2D-53	1.32e-09
Lipopeptide	SWE_T2D-53	4.35e-11
Tetracycline derivative	SWE_T2D-53	2.41e-07
Streptogramin	SWE_T2D-53	2.31e-09
Macrolide	SWE_T2D-53	4.73e-09
Diaminopyrimidine	SWE_T2D-53	6.93e-09
Nucleoside	SWE_T2D-53	4.60e-10
Beta-lactam	SWE_T2D-53	3.88e-09
Phenicol	SWE_T2D-53	2.80e-09
Lincosamide	SWE_T2D-53	1.84e-09
Glycopeptide	SWE_T2D-53	1.81e-09
Coumarin	SWE_T2D-53	5.21e-08
Rifampin	SWE_T2D-53	8.91e-08
Sulfonamides	SWE_T2D-53	2.15e-09
Fluoroquinolones	SWE_T2D-53	1.66e-07
Metals	SWE_T2D-53	5.46e-06
Biocides	SWE_T2D-53	1.37e-06
Fluoroquinolone	SWE_T2D-543	8.90e-10
Aminoglycoside	SWE_T2D-543	1.38e-10
Lipopeptide	SWE_T2D-543	5.46e-10
Peptide	SWE_T2D-543	1.44e-10
Tetracycline derivative	SWE_T2D-543	3.46e-07
Streptogramin	SWE_T2D-543	8.89e-09
Macrolide	SWE_T2D-543	9.46e-09
Sulfonamide	SWE_T2D-543	5.69e-11
Aminocoumarin	SWE_T2D-543	4.03e-10
Rifamycin	SWE_T2D-543	6.30e-11
Diaminopyrimidine	SWE_T2D-543	9.81e-10
Beta-lactam	SWE_T2D-543	3.75e-08
Phenicol	SWE_T2D-543	4.09e-10
Lincosamide	SWE_T2D-543	9.08e-09
Coumarin	SWE_T2D-543	3.40e-08
Rifampin	SWE_T2D-543	1.26e-07
Sulfonamides	SWE_T2D-543	1.69e-09
Fluoroquinolones	SWE_T2D-543	2.01e-07
Metals	SWE_T2D-543	5.81e-06
Biocides	SWE_T2D-543	1.44e-06
Aminoglycoside	SWE_T2D-547	1.21e-09
Lipopeptide	SWE_T2D-547	2.08e-11
Tetracycline derivative	SWE_T2D-547	2.12e-07
Streptogramin	SWE_T2D-547	9.37e-10
Macrolide	SWE_T2D-547	9.37e-10
Diaminopyrimidine	SWE_T2D-547	4.90e-10
Nucleoside	SWE_T2D-547	1.34e-10
Beta-lactam	SWE_T2D-547	2.58e-09
Phenicol	SWE_T2D-547	1.81e-08
Lincosamide	SWE_T2D-547	8.87e-10
Glycopeptide	SWE_T2D-547	3.67e-09
Coumarin	SWE_T2D-547	4.50e-08
Rifampin	SWE_T2D-547	1.28e-07
Sulfonamides	SWE_T2D-547	1.08e-09
Fluoroquinolones	SWE_T2D-547	1.64e-07
Metals	SWE_T2D-547	6.45e-06
Biocides	SWE_T2D-547	1.32e-06
Fluoroquinolone	SWE_T2D-54	9.04e-10
Aminoglycoside	SWE_T2D-54	3.58e-09
Lipopeptide	SWE_T2D-54	8.88e-10
Tetracycline derivative	SWE_T2D-54	1.73e-07
Streptogramin	SWE_T2D-54	9.45e-10
Macrolide	SWE_T2D-54	1.39e-09
Aminocoumarin	SWE_T2D-54	3.50e-10
Rifamycin	SWE_T2D-54	1.36e-10
Diaminopyrimidine	SWE_T2D-54	9.75e-09
Nucleoside	SWE_T2D-54	2.71e-10
Beta-lactam	SWE_T2D-54	4.93e-09
Phenicol	SWE_T2D-54	4.72e-09
Lincosamide	SWE_T2D-54	1.75e-08
Glycopeptide	SWE_T2D-54	1.05e-08
Coumarin	SWE_T2D-54	2.70e-08
Rifampin	SWE_T2D-54	8.20e-08
Sulfonamides	SWE_T2D-54	2.98e-09
Fluoroquinolones	SWE_T2D-54	1.20e-07
Metals	SWE_T2D-54	5.93e-06
Biocides	SWE_T2D-54	1.30e-06
Fluoroquinolone	SWE_T2D-550	8.92e-08
Aminoglycoside	SWE_T2D-550	3.11e-08
Lipopeptide	SWE_T2D-550	5.52e-08
Peptide	SWE_T2D-550	8.90e-09
Tetracycline derivative	SWE_T2D-550	4.04e-07
Streptogramin	SWE_T2D-550	5.20e-09
Macrolide	SWE_T2D-550	4.28e-08
Aminocoumarin	SWE_T2D-550	3.20e-08
Rifamycin	SWE_T2D-550	1.38e-08
Diaminopyrimidine	SWE_T2D-550	1.34e-08
Nucleoside	SWE_T2D-550	1.22e-08
Beta-lactam	SWE_T2D-550	9.65e-08
Phenicol	SWE_T2D-550	2.10e-08
Lincosamide	SWE_T2D-550	9.86e-09
Glycopeptide	SWE_T2D-550	4.50e-11
Coumarin	SWE_T2D-550	8.57e-08
Rifampin	SWE_T2D-550	1.62e-07
Sulfonamides	SWE_T2D-550	8.42e-09
Fluoroquinolones	SWE_T2D-550	2.42e-07
Metals	SWE_T2D-550	7.36e-06
Biocides	SWE_T2D-550	3.14e-06
Fluoroquinolone	SWE_T2D-551	2.02e-09
Aminoglycoside	SWE_T2D-551	5.16e-09
Lipopeptide	SWE_T2D-551	1.47e-09
Peptide	SWE_T2D-551	2.58e-10
Tetracycline derivative	SWE_T2D-551	1.32e-07
Streptogramin	SWE_T2D-551	5.42e-09
Macrolide	SWE_T2D-551	6.35e-09
Aminocoumarin	SWE_T2D-551	8.26e-10
Rifamycin	SWE_T2D-551	2.69e-10
Diaminopyrimidine	SWE_T2D-551	1.35e-08
Nucleoside	SWE_T2D-551	1.17e-09
Beta-lactam	SWE_T2D-551	1.69e-08
Phenicol	SWE_T2D-551	6.01e-09
Lincosamide	SWE_T2D-551	9.20e-09
Glycopeptide	SWE_T2D-551	1.37e-09
Coumarin	SWE_T2D-551	1.01e-07
Rifampin	SWE_T2D-551	1.32e-07
Sulfonamides	SWE_T2D-551	1.91e-09
Fluoroquinolones	SWE_T2D-551	1.93e-07
Metals	SWE_T2D-551	6.73e-06
Biocides	SWE_T2D-551	1.56e-06
Fluoroquinolone	SWE_T2D-552	5.71e-11
Aminoglycoside	SWE_T2D-552	1.21e-09
Lipopeptide	SWE_T2D-552	5.70e-11
Peptide	SWE_T2D-552	8.09e-11
Tetracycline derivative	SWE_T2D-552	2.46e-07
Streptogramin	SWE_T2D-552	1.15e-08
Macrolide	SWE_T2D-552	1.16e-08
Aminocoumarin	SWE_T2D-552	2.16e-11
Diaminopyrimidine	SWE_T2D-552	8.06e-10
Nucleoside	SWE_T2D-552	3.06e-10
Beta-lactam	SWE_T2D-552	6.40e-09
Lincosamide	SWE_T2D-552	1.22e-08
Glycopeptide	SWE_T2D-552	9.02e-10
Coumarin	SWE_T2D-552	3.23e-08
Rifampin	SWE_T2D-552	9.71e-08
Sulfonamides	SWE_T2D-552	8.32e-10
Fluoroquinolones	SWE_T2D-552	1.55e-07
Metals	SWE_T2D-552	5.75e-06
Biocides	SWE_T2D-552	1.36e-06
Fluoroquinolone	SWE_T2D-558	2.90e-09
Aminoglycoside	SWE_T2D-558	2.84e-09
Lipopeptide	SWE_T2D-558	1.72e-09
Peptide	SWE_T2D-558	3.45e-11
Tetracycline derivative	SWE_T2D-558	1.86e-07
Streptogramin	SWE_T2D-558	1.13e-09
Macrolide	SWE_T2D-558	2.24e-09
Sulfonamide	SWE_T2D-558	4.05e-10
Aminocoumarin	SWE_T2D-558	1.24e-09
Rifamycin	SWE_T2D-558	6.16e-10
Diaminopyrimidine	SWE_T2D-558	2.25e-09
Nucleoside	SWE_T2D-558	1.57e-10
Beta-lactam	SWE_T2D-558	1.31e-08
Phenicol	SWE_T2D-558	8.98e-10
Lincosamide	SWE_T2D-558	1.58e-09
Glycopeptide	SWE_T2D-558	1.75e-10
Coumarin	SWE_T2D-558	4.51e-08
Rifampin	SWE_T2D-558	1.12e-07
Sulfonamides	SWE_T2D-558	5.73e-09
Fluoroquinolones	SWE_T2D-558	1.75e-07
Metals	SWE_T2D-558	6.41e-06
Biocides	SWE_T2D-558	1.43e-06
Fluoroquinolone	SWE_T2D-561	4.68e-09
Aminoglycoside	SWE_T2D-561	9.06e-10
Lipopeptide	SWE_T2D-561	3.21e-09
Peptide	SWE_T2D-561	5.39e-10
Tetracycline derivative	SWE_T2D-561	2.53e-07
Streptogramin	SWE_T2D-561	4.13e-09
Macrolide	SWE_T2D-561	5.82e-09
Aminocoumarin	SWE_T2D-561	2.00e-09
Rifamycin	SWE_T2D-561	6.79e-10
Diaminopyrimidine	SWE_T2D-561	1.52e-08
Nucleoside	SWE_T2D-561	4.30e-11
Beta-lactam	SWE_T2D-561	1.16e-08
Phenicol	SWE_T2D-561	6.01e-08
Lincosamide	SWE_T2D-561	8.96e-08
Glycopeptide	SWE_T2D-561	2.07e-10
Coumarin	SWE_T2D-561	1.29e-07
Rifampin	SWE_T2D-561	1.61e-07
Sulfonamides	SWE_T2D-561	3.54e-09
Fluoroquinolones	SWE_T2D-561	3.98e-07
Metals	SWE_T2D-561	6.79e-06
Biocides	SWE_T2D-561	1.77e-06
Fluoroquinolone	SWE_T2D-563	4.09e-09
Aminoglycoside	SWE_T2D-563	2.90e-09
Lipopeptide	SWE_T2D-563	2.67e-09
Peptide	SWE_T2D-563	1.77e-10
Tetracycline derivative	SWE_T2D-563	7.94e-08
Streptogramin	SWE_T2D-563	1.13e-09
Macrolide	SWE_T2D-563	2.77e-09
Aminocoumarin	SWE_T2D-563	1.49e-09
Rifamycin	SWE_T2D-563	2.71e-10
Diaminopyrimidine	SWE_T2D-563	2.00e-08
Nucleoside	SWE_T2D-563	1.13e-09
Beta-lactam	SWE_T2D-563	7.05e-09
Phenicol	SWE_T2D-563	5.95e-10
Lincosamide	SWE_T2D-563	1.57e-09
Glycopeptide	SWE_T2D-563	4.22e-10
Coumarin	SWE_T2D-563	4.58e-08
Rifampin	SWE_T2D-563	1.25e-07
Sulfonamides	SWE_T2D-563	1.17e-09
Fluoroquinolones	SWE_T2D-563	1.96e-07
Metals	SWE_T2D-563	6.00e-06
Biocides	SWE_T2D-563	1.44e-06
Fluoroquinolone	SWE_T2D-577	1.06e-07
Aminoglycoside	SWE_T2D-577	1.27e-08
Lipopeptide	SWE_T2D-577	6.52e-08
Peptide	SWE_T2D-577	9.74e-09
Tetracycline derivative	SWE_T2D-577	1.04e-07
Streptogramin	SWE_T2D-577	6.68e-09
Macrolide	SWE_T2D-577	4.80e-08
Sulfonamide	SWE_T2D-577	1.12e-10
Aminocoumarin	SWE_T2D-577	5.07e-08
Rifamycin	SWE_T2D-577	1.79e-08
Diaminopyrimidine	SWE_T2D-577	1.28e-09
Nucleoside	SWE_T2D-577	2.60e-10
Beta-lactam	SWE_T2D-577	8.85e-08
Phenicol	SWE_T2D-577	1.86e-08
Lincosamide	SWE_T2D-577	1.04e-08
Glycopeptide	SWE_T2D-577	9.73e-09
Coumarin	SWE_T2D-577	2.17e-08
Rifampin	SWE_T2D-577	7.25e-08
Sulfonamides	SWE_T2D-577	2.99e-09
Fluoroquinolones	SWE_T2D-577	1.46e-07
Metals	SWE_T2D-577	1.21e-05
Biocides	SWE_T2D-577	5.12e-06
Fluoroquinolone	SWE_T2D-584	2.84e-11
Aminoglycoside	SWE_T2D-584	4.49e-09
Tetracycline derivative	SWE_T2D-584	1.12e-07
Streptogramin	SWE_T2D-584	2.11e-09
Macrolide	SWE_T2D-584	2.49e-09
Aminocoumarin	SWE_T2D-584	1.80e-11
Diaminopyrimidine	SWE_T2D-584	3.36e-09
Nucleoside	SWE_T2D-584	1.16e-09
Beta-lactam	SWE_T2D-584	1.52e-08
Phenicol	SWE_T2D-584	1.14e-08
Lincosamide	SWE_T2D-584	7.47e-09
Glycopeptide	SWE_T2D-584	1.22e-09
Coumarin	SWE_T2D-584	3.23e-08
Rifampin	SWE_T2D-584	9.61e-08
Sulfonamides	SWE_T2D-584	6.58e-09
Fluoroquinolones	SWE_T2D-584	1.37e-07
Metals	SWE_T2D-584	6.00e-06
Biocides	SWE_T2D-584	1.29e-06
Fluoroquinolone	SWE_T2D-587	1.41e-09
Aminoglycoside	SWE_T2D-587	9.66e-09
Lipopeptide	SWE_T2D-587	6.29e-10
Peptide	SWE_T2D-587	2.66e-10
Tetracycline derivative	SWE_T2D-587	1.50e-07
Streptogramin	SWE_T2D-587	9.14e-09
Macrolide	SWE_T2D-587	9.75e-09
Sulfonamide	SWE_T2D-587	3.47e-10
Aminocoumarin	SWE_T2D-587	6.25e-10
Rifamycin	SWE_T2D-587	2.18e-10
Diaminopyrimidine	SWE_T2D-587	7.39e-10
Nucleoside	SWE_T2D-587	1.54e-09
Beta-lactam	SWE_T2D-587	2.37e-08
Phenicol	SWE_T2D-587	2.33e-09
Lincosamide	SWE_T2D-587	1.85e-08
Glycopeptide	SWE_T2D-587	3.53e-11
Coumarin	SWE_T2D-587	1.41e-08
Rifampin	SWE_T2D-587	6.87e-08
Sulfonamides	SWE_T2D-587	5.08e-10
Fluoroquinolones	SWE_T2D-587	1.03e-07
Metals	SWE_T2D-587	5.44e-06
Biocides	SWE_T2D-587	1.14e-06
Aminoglycoside	SWE_T2D-589	1.80e-08
Lipopeptide	SWE_T2D-589	2.73e-11
Tetracycline derivative	SWE_T2D-589	6.78e-08
Streptogramin	SWE_T2D-589	1.71e-08
Macrolide	SWE_T2D-589	1.78e-08
Diaminopyrimidine	SWE_T2D-589	3.40e-09
Nucleoside	SWE_T2D-589	8.73e-09
Beta-lactam	SWE_T2D-589	2.08e-09
Phenicol	SWE_T2D-589	6.67e-10
Lincosamide	SWE_T2D-589	1.68e-08
Coumarin	SWE_T2D-589	6.03e-08
Rifampin	SWE_T2D-589	1.23e-07
Sulfonamides	SWE_T2D-589	2.49e-09
Fluoroquinolones	SWE_T2D-589	1.59e-07
Metals	SWE_T2D-589	6.35e-06
Biocides	SWE_T2D-589	1.31e-06
Fluoroquinolone	SWE_T2D-58	5.48e-09
Aminoglycoside	SWE_T2D-58	1.67e-08
Lipopeptide	SWE_T2D-58	3.26e-09
Peptide	SWE_T2D-58	4.14e-10
Tetracycline derivative	SWE_T2D-58	1.27e-07
Streptogramin	SWE_T2D-58	4.97e-09
Macrolide	SWE_T2D-58	7.17e-09
Sulfonamide	SWE_T2D-58	3.95e-09
Aminocoumarin	SWE_T2D-58	1.95e-09
Rifamycin	SWE_T2D-58	5.93e-10
Diaminopyrimidine	SWE_T2D-58	3.17e-08
Nucleoside	SWE_T2D-58	4.87e-10
